Date,Price,Open,High,Low,Vol.,Change %
20-Mar-19,1661.53,"1,673.34","1,673.55","1,660.45",-,-0.87%
19-Mar-19,1676.09,"1,668.76","1,682.72","1,668.67",-,0.64%
18-Mar-19,1665.40,"1,662.23","1,667.32","1,661.15",-,0.41%
15-Mar-19,1658.64,"1,645.49","1,659.77","1,645.49",-,0.87%
14-Mar-19,1644.37,"1,635.66","1,647.41","1,635.66",-,0.73%
13-Mar-19,1632.46,"1,617.15","1,637.19","1,616.23",-,0.93%
12-Mar-19,1617.36,"1,622.19","1,624.02","1,610.37",-,0.37%
11-Mar-19,1611.32,"1,603.78","1,615.63","1,603.05",-,0.69%
8-Mar-19,1600.25,"1,607.52","1,607.52","1,595.92",-,-0.89%
7-Mar-19,1614.59,"1,631.88","1,631.88","1,607.61",-,-1.17%
6-Mar-19,1633.70,"1,632.36","1,638.81","1,629.37",-,0.07%
5-Mar-19,1632.60,"1,632.68","1,637.86","1,627.45",-,0.01%
4-Mar-19,1632.47,"1,637.08","1,641.19","1,632.18",-,-0.34%
1-Mar-19,1638.02,"1,632.07","1,643.59","1,632.07",-,0.38%
28-Feb-19,1631.85,"1,625.68","1,634.38","1,622.23",-,0.07%
27-Feb-19,1630.68,"1,632.03","1,633.02","1,625.78",-,-0.06%
26-Feb-19,1631.74,"1,624.69","1,637.52","1,617.62",-,0.45%
25-Feb-19,1624.49,"1,623.19","1,629.60","1,622.99",-,0.32%
22-Feb-19,1619.30,"1,616.05","1,622.50","1,614.20",-,0.14%
21-Feb-19,1616.98,"1,619.90","1,624.61","1,612.37",-,-0.30%
20-Feb-19,1621.91,"1,611.41","1,625.54","1,610.97",-,0.80%
19-Feb-19,1609.00,"1,605.32","1,612.39","1,593.64",-,0.05%
18-Feb-19,1608.13,"1,604.87","1,611.90","1,603.45",-,0.58%
15-Feb-19,1598.90,"1,579.43","1,604.54","1,576.25",-,1.31%
14-Feb-19,1578.27,"1,586.79","1,593.40","1,578.27",-,-0.45%
13-Feb-19,1585.37,"1,582.05","1,590.33","1,581.88",-,0.49%
