Date,Open,High,Low,Close,Adj Close,Volume
2014-10-28,8.510000,8.510000,8.510000,8.510000,7.496901,0
2014-10-29,8.460000,8.460000,8.460000,8.460000,7.452853,0
2014-10-30,8.510000,8.510000,8.510000,8.510000,7.496901,0
2014-10-31,8.640000,8.640000,8.640000,8.640000,7.611424,0
2014-11-03,8.570000,8.570000,8.570000,8.570000,7.549757,0
2014-11-04,8.540000,8.540000,8.540000,8.540000,7.523330,0
2014-11-05,8.570000,8.570000,8.570000,8.570000,7.549757,0
2014-11-06,8.520000,8.520000,8.520000,8.520000,7.505711,0
2014-11-07,8.520000,8.520000,8.520000,8.520000,7.505711,0
2014-11-10,8.550000,8.550000,8.550000,8.550000,7.532139,0
2014-11-11,8.610000,8.610000,8.610000,8.610000,7.584995,0
2014-11-12,8.520000,8.520000,8.520000,8.520000,7.505711,0
2014-11-13,8.550000,8.550000,8.550000,8.550000,7.532139,0
2014-11-14,8.580000,8.580000,8.580000,8.580000,7.558568,0
2014-11-17,8.560000,8.560000,8.560000,8.560000,7.540948,0
2014-11-18,8.650000,8.650000,8.650000,8.650000,7.620234,0
2014-11-19,8.640000,8.640000,8.640000,8.640000,7.611424,0
2014-11-20,8.600000,8.600000,8.600000,8.600000,7.576187,0
2014-11-21,8.660000,8.660000,8.660000,8.660000,7.629043,0
2014-11-24,8.690000,8.690000,8.690000,8.690000,7.655472,0
2014-11-25,8.710000,8.710000,8.710000,8.710000,7.673090,0
2014-11-26,8.740000,8.740000,8.740000,8.740000,7.699520,0
2014-11-28,8.690000,8.690000,8.690000,8.690000,7.655472,0
2014-12-01,8.680000,8.680000,8.680000,8.680000,7.646663,0
2014-12-02,8.680000,8.680000,8.680000,8.680000,7.646663,0
2014-12-03,8.660000,8.660000,8.660000,8.660000,7.629043,0
2014-12-04,8.640000,8.640000,8.640000,8.640000,7.611424,0
2014-12-05,8.350000,8.350000,8.350000,8.350000,7.636117,0
2014-12-08,8.300000,8.300000,8.300000,8.300000,7.590391,0
2014-12-09,8.220000,8.220000,8.220000,8.220000,7.517231,0
2014-12-10,8.160000,8.160000,8.160000,8.160000,7.462361,0
2014-12-11,8.160000,8.160000,8.160000,8.160000,7.462361,0
